protocol,uterus,weight,EE,ZM,lab,group
A,21,61.9,0,0,Basf,1
A,22,55.9,0,0,Basf,1
A,21,59.1,0,0,Basf,1
A,26,54.8,0,0,Basf,1
A,24,57.5,0,0,Basf,1
A,25,57.6,0,0,Basf,2
A,22,60.3,0,0,Basf,2
A,26,59,0,0,Basf,2
A,24,59.1,0,0,Basf,2
A,22,61.4,0,0,Basf,2
A,24,47.9,0,0,Basf,2
A,24,58.6,0.03,0,Basf,4
A,20,60.2,0.03,0,Basf,4
A,31,62.4,0.03,0,Basf,4
A,30,60.9,0.03,0,Basf,4
A,22,57,0.03,0,Basf,4
A,20,53,0.03,0,Basf,4
A,25,55.2,0.1,0,Basf,5
A,26,52.9,0.1,0,Basf,5
A,30,55.2,0.1,0,Basf,5
A,28,57.3,0.1,0,Basf,5
A,21,52,0.1,0,Basf,5
A,25,56.8,0.1,0,Basf,5
A,25,61.3,0.3,0,Basf,6
A,25,61.2,0.3,0,Basf,6
A,22,56.4,0.3,0,Basf,6
A,21,58.8,0.3,0,Basf,6
A,20,55.6,0.3,0,Basf,6
A,20,54.5,0.3,0,Basf,6
A,25,57.1,1,0,Basf,7
A,30,61.8,1,0,Basf,7
A,33,60.8,1,0,Basf,7
A,29,55,1,0,Basf,7
A,25,59,1,0,Basf,7
A,28,55.7,1,0,Basf,7
A,79,54.5,3,0,Basf,8
A,99,58.5,3,0,Basf,8
A,95,55.7,3,0,Basf,8
A,89,55.7,3,0,Basf,8
A,96,57.1,3,0,Basf,8
A,97,53.9,3,0,Basf,8
A,109,53.8,10,0,Basf,9
A,113,52.9,10,0,Basf,9
A,97,54.7,10,0,Basf,9
A,117,55.1,10,0,Basf,9
A,90,52.9,10,0,Basf,9
A,126,56.3,10,0,Basf,9
A,47,56.6,3,0.1,Basf,10
A,52,61.7,3,0.1,Basf,10
A,49,57.3,3,0.1,Basf,10
A,36,54.2,3,0.1,Basf,10
A,60,55.3,3,0.1,Basf,10
A,46,56.4,3,0.1,Basf,10
A,21,59.6,3,1,Basf,11
A,21,51.1,3,1,Basf,11
A,27,52,3,1,Basf,11
A,29,59,3,1,Basf,11
A,27,58.7,3,1,Basf,11
A,19,53,3,1,Basf,11
A,49,41,0,0,Bayer,1
A,32,41,0,0,Bayer,1
A,31,37,0,0,Bayer,1
A,26,45,0,0,Bayer,1
A,33,38,0,0,Bayer,1
A,44,40.5,0,0,Bayer,1
A,34,38.4,0,0,Bayer,2
A,32,42.4,0,0,Bayer,2
A,40,46.1,0,0,Bayer,2
A,43,47.6,0,0,Bayer,2
A,33,39.2,0,0,Bayer,2
A,27,41.9,0,0,Bayer,2
A,41,40.1,0.1,0,Bayer,5
A,41,39.7,0.1,0,Bayer,5
A,36,42,0.1,0,Bayer,5
A,35,40.5,0.1,0,Bayer,5
A,31,37,0.1,0,Bayer,5
A,32,41.5,0.1,0,Bayer,5
A,32,38.9,0.3,0,Bayer,6
A,26,36.1,0.3,0,Bayer,6
A,29,41.8,0.3,0,Bayer,6
A,42,43.7,0.3,0,Bayer,6
A,32,36,0.3,0,Bayer,6
A,36,40.4,0.3,0,Bayer,6
A,45,38.4,1,0,Bayer,7
A,39,38.3,1,0,Bayer,7
A,43,41.4,1,0,Bayer,7
A,45,45.4,1,0,Bayer,7
A,36,27.7,1,0,Bayer,7
A,46,36.6,1,0,Bayer,7
A,80,39.6,3,0,Bayer,8
A,75,38.3,3,0,Bayer,8
A,78,38.5,3,0,Bayer,8
A,72,34.2,3,0,Bayer,8
A,71,39.7,3,0,Bayer,8
A,81,42.1,3,0,Bayer,8
A,136,44.4,10,0,Bayer,9
A,116,37.3,10,0,Bayer,9
A,136,40.3,10,0,Bayer,9
A,125,34.9,10,0,Bayer,9
A,150,45.4,10,0,Bayer,9
A,143,46.2,10,0,Bayer,9
A,63,46.1,3,0.1,Bayer,10
A,60,43.1,3,0.1,Bayer,10
A,99,45.8,3,0.1,Bayer,10
A,95,38.5,3,0.1,Bayer,10
A,81,37,3,0.1,Bayer,10
A,101,45.4,3,0.1,Bayer,10
A,38,41.9,3,1,Bayer,11
A,36,35,3,1,Bayer,11
A,39,39.1,3,1,Bayer,11
A,40,34.6,3,1,Bayer,11
A,42,40.8,3,1,Bayer,11
A,48,42.2,3,1,Bayer,11
A,17.2,31.9,0,0,Berlin,1
A,20.5,31.1,0,0,Berlin,1
A,20.1,32.9,0,0,Berlin,1
A,16.5,31.6,0,0,Berlin,1
A,15.9,33.2,0,0,Berlin,1
A,26.1,30.6,0,0,Berlin,1
A,25.9,34.5,0,0,Berlin,2
A,42.5,32.6,0,0,Berlin,2
A,34.6,32.7,0,0,Berlin,2
A,44.1,34.2,0,0,Berlin,2
A,28.4,31.1,0,0,Berlin,2
A,20.3,33,0,0,Berlin,2
A,37.5,34.1,0.01,0,Berlin,3
A,32.1,35.7,0.01,0,Berlin,3
A,20.7,32.2,0.01,0,Berlin,3
A,30.9,35.9,0.01,0,Berlin,3
A,20,35.8,0.01,0,Berlin,3
A,21.4,32.8,0.01,0,Berlin,3
A,29.3,34.9,0.03,0,Berlin,4
A,26.8,33,0.03,0,Berlin,4
A,43.2,30.1,0.03,0,Berlin,4
A,37.1,31.4,0.03,0,Berlin,4
A,25.7,35,0.03,0,Berlin,4
A,18,34.2,0.03,0,Berlin,4
A,35.4,36.7,0.1,0,Berlin,5
A,26.8,36.8,0.1,0,Berlin,5
A,23.5,39.5,0.1,0,Berlin,5
A,25.1,34.5,0.1,0,Berlin,5
A,23.8,31.2,0.1,0,Berlin,5
A,22.6,31,0.1,0,Berlin,5
A,74.6,32.7,0.3,0,Berlin,6
A,32.8,33,0.3,0,Berlin,6
A,49.4,36.4,0.3,0,Berlin,6
A,27.6,30.3,0.3,0,Berlin,6
A,26.1,41.8,0.3,0,Berlin,6
A,33.5,35.9,0.3,0,Berlin,6
A,57.1,30.8,1,0,Berlin,7
A,97.9,29.9,1,0,Berlin,7
A,65.3,30.9,1,0,Berlin,7
A,76.8,36,1,0,Berlin,7
A,81,36,1,0,Berlin,7
A,104.7,34.7,1,0,Berlin,7
A,132.8,30.4,3,0,Berlin,8
A,134.8,31,3,0,Berlin,8
A,127.3,36.6,3,0,Berlin,8
A,126.1,34.3,3,0,Berlin,8
A,127.8,32.8,3,0,Berlin,8
A,140.7,33.9,3,0,Berlin,8
A,100.2,33.9,10,0,Berlin,9
A,132.5,36.3,10,0,Berlin,9
A,119.8,39,10,0,Berlin,9
A,143.7,36.6,10,0,Berlin,9
A,94.5,39.6,10,0,Berlin,9
A,117.7,37.8,10,0,Berlin,9
A,121.5,35.4,3,0.1,Berlin,10
A,89.5,33,3,0.1,Berlin,10
A,116.8,33.5,3,0.1,Berlin,10
A,123.5,33.9,3,0.1,Berlin,10
A,128.4,33.8,3,0.1,Berlin,10
A,111,34,3,0.1,Berlin,10
A,48.1,31.4,3,1,Berlin,11
A,74.2,33,3,1,Berlin,11
A,60,35.1,3,1,Berlin,11
A,88.3,35.9,3,1,Berlin,11
A,47.9,31.9,3,1,Berlin,11
A,47.1,34,3,1,Berlin,11
A,62,54.3,0,0,ChungKor,1
A,39.6,47.3,0,0,ChungKor,1
A,33.6,50.1,0,0,ChungKor,1
A,30.2,47.3,0,0,ChungKor,1
A,38.2,43.5,0,0,ChungKor,1
A,60.8,50.7,0,0,ChungKor,1
A,45,50.4,0,0,ChungKor,2
A,52.7,45.2,0,0,ChungKor,2
A,32.6,49.7,0,0,ChungKor,2
A,39.5,57.7,0,0,ChungKor,2
A,24.7,38.7,0,0,ChungKor,2
A,59.1,54.9,0,0,ChungKor,2
A,34,46.1,0.01,0,ChungKor,3
A,29,46.9,0.01,0,ChungKor,3
A,25.4,40.3,0.01,0,ChungKor,3
A,56.2,54.6,0.01,0,ChungKor,3
A,31.3,45.4,0.01,0,ChungKor,3
A,57.1,52.9,0.01,0,ChungKor,3
A,37.2,50.8,0.03,0,ChungKor,4
A,29,45.6,0.03,0,ChungKor,4
A,35.8,52.8,0.03,0,ChungKor,4
A,42.8,46.5,0.03,0,ChungKor,4
A,53.3,55.3,0.03,0,ChungKor,4
A,34.3,43.4,0.03,0,ChungKor,4
A,57.9,49.7,0.1,0,ChungKor,5
A,68.5,49.5,0.1,0,ChungKor,5
A,49,48.9,0.1,0,ChungKor,5
A,34.7,47.4,0.1,0,ChungKor,5
A,64.7,56.4,0.1,0,ChungKor,5
A,59.5,50.6,0.1,0,ChungKor,5
A,57.3,47.4,0.3,0,ChungKor,6
A,54.8,45.2,0.3,0,ChungKor,6
A,56.5,57,0.3,0,ChungKor,6
A,49.9,44.1,0.3,0,ChungKor,6
A,51.3,43.6,0.3,0,ChungKor,6
A,61.8,44.2,0.3,0,ChungKor,6
A,79.4,52.7,1,0,ChungKor,7
A,62,51.2,1,0,ChungKor,7
A,73.4,45.8,1,0,ChungKor,7
A,83.3,44.8,1,0,ChungKor,7
A,81,48.8,1,0,ChungKor,7
A,70.4,42.2,1,0,ChungKor,7
A,117.4,54.4,3,0,ChungKor,8
A,127.7,49.1,3,0,ChungKor,8
A,129.2,55.3,3,0,ChungKor,8
A,163.6,51.3,3,0,ChungKor,8
A,89.7,52.8,3,0,ChungKor,8
A,91.4,47.4,3,0,ChungKor,8
A,139.4,46,10,0,ChungKor,9
A,116.4,47.6,10,0,ChungKor,9
A,106.9,43.6,10,0,ChungKor,9
A,132,48.7,10,0,ChungKor,9
A,97.8,54,10,0,ChungKor,9
A,132.8,45.1,10,0,ChungKor,9
A,127.5,50.2,3,0.1,ChungKor,10
A,124.5,43.4,3,0.1,ChungKor,10
A,141.4,48.2,3,0.1,ChungKor,10
A,108,40.2,3,0.1,ChungKor,10
A,112.4,50.6,3,0.1,ChungKor,10
A,104.7,56.9,3,0.1,ChungKor,10
A,96.6,48.6,3,1,ChungKor,11
A,97.5,51.6,3,1,ChungKor,11
A,68,36,3,1,ChungKor,11
A,80.3,48.2,3,1,ChungKor,11
A,85.8,53.4,3,1,ChungKor,11
A,75.3,51.3,3,1,ChungKor,11
B,31.6,45.3,0,0,ChungKor,1
B,27.9,43.8,0,0,ChungKor,1
B,31.7,47.6,0,0,ChungKor,1
B,20.7,44.3,0,0,ChungKor,1
B,41.1,51.7,0,0,ChungKor,1
B,35.3,52.2,0,0,ChungKor,1
B,45.7,47.2,0,0,ChungKor,2
B,38.6,45,0,0,ChungKor,2
