"store","price","vol","disp"
"LOS ANGELES - LUCKY",2.57846,21374,1
"LOS ANGELES - RALPHS",3.727867,6427,1
"LOS ANGELES - VONS",2.711421,17302,1
"CHICAGO - DOMINICK",2.651206,13561,1
"CHICAGO - JEWEL",1.986674,42774,1
"CHICAGO - OMNI",2.386616,4498,0
"HOUSTON - KROGER CO",2.481124,6834,1
"HOUSTON - RANDALLS",3.428268,3764,0
"PITTSBURGH - GIANT EAGLE",2.538341,5112,1
"DETROIT - FARMER JACKS",2.562163,6676,1
"DETROIT - KROGER CO",2.747321,5505,0
"CLEVELAND - STOP N SHOP",2.653127,5884,1
"ST. LOUIS - NATIONAL SUPER",3.58694,2588,1
"ST. LOUIS - SCHNUCK MARKETS",3.297955,4890,1
"DALLAS/FT. WORTH - ALBERTSONS",3.453665,3097,1
"DALLAS/FT. WORTH - KROGER CO",2.920025,3201,0
"DALLAS/FT. WORTH - TOM THUMB",2.666388,5986,1
"BOSTON - SHAWS",2.386935,2786,0
"BOSTON - STAR MARKET",3.120579,622,0
"BOSTON - STOP & SHOP",2.559624,2021,0
"SAN FRANCISCO - LUCKY",3.716438,6041,1
"TAMPA/ST. PETE - KASH N KARRY",2.910253,3599,0
"TAMPA/ST. PETE - PUBLIX",3.03395,4271,1
"TAMPA/ST. PETE - WINN DIXIE",2.796772,3656,0
"DENVER - KING SOOPERS INC",2.837374,7219,1
"PHILADELPHIA - ACME MARKET",3.694512,2897,1
"ATLANTA - KROGER CO",2.893145,4099,1
"ATLANTA - WINN DIXIE",2.639767,2751,1
"CINCINNATI - KROGER CO",2.686961,5568,0
"INDIANAPOLIS - KROGER CO",2.665941,4134,1
"OKLAHOMA CITY - HOMELAND",2.940651,1904,1
"SACRAMENTO - RALEYS",3.719766,1538,1
"SAN DIEGO - LUCKY",2.71122,7362,1
"SAN DIEGO - RALPHS",3.809022,1707,1
"SALT LAKE CITY - SMITHS FOOD",2.653718,901,1
"PHOENIX - SAFEWAY",3.318979,1254,0
"PHOENIX - FRY'S FOOD STORE",2.653182,7243,0
"PHOENIX - SMITHS FOOD",2.653576,2139,0
"MIAMI - PUBLIX",2.728657,9523,1
"MIAMI - WINN DIXIE",2.512356,8619,1
"NASHVILLE - KROGER CO",2.882728,2669,1
"RALEIGH/GREENSBORO - WINN DIXIE",2.505207,2977,0
"RALEIGH/GREENSBORO - FOOD LION",2.652684,5030,1
"ALBANY,NY - PRICE CHOPPER",3.052699,778,0
"BALTI/WASH - GIANT FOOD INC",3.777885,4142,0
"BALTI/WASH - SAFEWAY",3.320479,4512,0
"BALTI/WASH - SUPER FRESH",3.53695,1069,0
