gene,group,label,log2exp,time,replicate
142798_at,group1,A_01.cel,15.4482500220542,1,A
142472_at,group1,A_01.cel,15.343944998038,1,A
143074_at,group1,A_01.cel,15.4121229290498,1,A
143143_at,group1,A_01.cel,15.0398528839359,1,A
142791_at,group1,A_01.cel,15.0161508448904,1,A
142356_at,group2,A_01.cel,7.28557445584872,1,A
143051_at,group2,A_01.cel,6.3105850710604,1,A
141311_at,group2,A_01.cel,8.08190515883119,1,A
141404_at,group2,A_01.cel,8.86130738443586,1,A
142200_at,group2,A_01.cel,8.76271352130764,1,A
142661_at,group3,A_01.cel,13.9640117064961,1,A
142342_at,group3,A_01.cel,12.3634009710008,1,A
141251_at,group3,A_01.cel,12.9352516409443,1,A
142709_s_at,group3,A_01.cel,13.591132523022,1,A
142798_at,group1,A_02.cel,15.4626501666362,2,A
142472_at,group1,A_02.cel,15.3831284136103,2,A
143074_at,group1,A_02.cel,15.4633758076836,2,A
143143_at,group1,A_02.cel,15.1040772158849,2,A
142791_at,group1,A_02.cel,15.0547420006095,2,A
142356_at,group2,A_02.cel,7.39016122704684,2,A
143051_at,group2,A_02.cel,6.35436446837254,2,A
141311_at,group2,A_02.cel,8.09488870124454,2,A
141404_at,group2,A_02.cel,9.39640478532919,2,A
142200_at,group2,A_02.cel,8.69180587748694,2,A
142661_at,group3,A_02.cel,13.5416288846688,2,A
142342_at,group3,A_02.cel,11.6964520926079,2,A
141251_at,group3,A_02.cel,13.0955843475752,2,A
142709_s_at,group3,A_02.cel,13.6555380715371,2,A
142798_at,group1,A_03.cel,15.4679198801135,3,A
142472_at,group1,A_03.cel,15.4516418531767,3,A
143074_at,group1,A_03.cel,15.3914294929017,3,A
143143_at,group1,A_03.cel,15.322382553683,3,A
142791_at,group1,A_03.cel,15.2754779853138,3,A
142356_at,group2,A_03.cel,7.79357220778918,3,A
143051_at,group2,A_03.cel,6.96848091352077,3,A
141311_at,group2,A_03.cel,8.27974052191201,3,A
141404_at,group2,A_03.cel,9.3065043661895,3,A
142200_at,group2,A_03.cel,10.6472182434955,3,A
142661_at,group3,A_03.cel,12.3602602936839,3,A
142342_at,group3,A_03.cel,9.37575792816263,3,A
141251_at,group3,A_03.cel,12.9610422274092,3,A
142709_s_at,group3,A_03.cel,13.5141412324722,3,A
142798_at,group1,A_04.cel,15.4649787469325,4,A
142472_at,group1,A_04.cel,15.4487007199957,4,A
143074_at,group1,A_04.cel,15.3353579880198,4,A
143143_at,group1,A_04.cel,15.3987660589626,4,A
142791_at,group1,A_04.cel,15.3110030141436,4,A
142356_at,group2,A_04.cel,8.76304596206221,4,A
143051_at,group2,A_04.cel,8.76964541315513,4,A
141311_at,group2,A_04.cel,8.51413561384346,4,A
141404_at,group2,A_04.cel,9.3539807491702,4,A
142200_at,group2,A_04.cel,12.3630433947697,4,A
142661_at,group3,A_04.cel,9.83176773043206,4,A
142342_at,group3,A_04.cel,8.37471887073604,4,A
141251_at,group3,A_04.cel,11.7733292882115,4,A
142709_s_at,group3,A_04.cel,11.9194028548118,4,A
142798_at,group1,A_05.cel,15.4657133312167,5,A
142472_at,group1,A_05.cel,15.4494353042799,5,A
143074_at,group1,A_05.cel,15.3075286595803,5,A
143143_at,group1,A_05.cel,15.388706891886,5,A
142791_at,group1,A_05.cel,15.3117375984278,5,A
142356_at,group2,A_05.cel,9.55497823990932,5,A
143051_at,group2,A_05.cel,9.44557963711358,5,A
141311_at,group2,A_05.cel,8.4479920477342,5,A
141404_at,group2,A_05.cel,9.47615887178325,5,A
142200_at,group2,A_05.cel,12.7228301828711,5,A
142661_at,group3,A_05.cel,10.2409749002106,5,A
142342_at,group3,A_05.cel,8.49240766760087,5,A
141251_at,group3,A_05.cel,10.8829842725656,5,A
142709_s_at,group3,A_05.cel,10.8407158244484,5,A
142798_at,group1,A_06.cel,15.4639281230791,6,A
142472_at,group1,A_06.cel,15.4475726614729,6,A
143074_at,group1,A_06.cel,15.2520544803379,6,A
143143_at,group1,A_06.cel,15.337805437121,6,A
142791_at,group1,A_06.cel,15.3359587962267,6,A
142356_at,group2,A_06.cel,11.7508624764817,6,A
143051_at,group2,A_06.cel,11.6096973595863,6,A
141311_at,group2,A_06.cel,8.56018216007664,6,A
141404_at,group2,A_06.cel,10.0879802427821,6,A
142200_at,group2,A_06.cel,13.1638284931669,6,A
142661_at,group3,A_06.cel,10.3178789325354,6,A
142342_at,group3,A_06.cel,8.44656093738073,6,A
141251_at,group3,A_06.cel,10.0492435339582,6,A
142709_s_at,group3,A_06.cel,10.5203399039315,6,A
142798_at,group1,A_07.cel,15.4628976261258,7,A
142472_at,group1,A_07.cel,15.445896571349,7,A
143074_at,group1,A_07.cel,15.1022078071297,7,A
143143_at,group1,A_07.cel,15.3239817388721,7,A
142791_at,group1,A_07.cel,15.3231714761539,7,A
142356_at,group2,A_07.cel,12.4382294813749,7,A
143051_at,group2,A_07.cel,11.9187233213649,7,A
141311_at,group2,A_07.cel,9.07133317411945,7,A
141404_at,group2,A_07.cel,10.5418484498202,7,A
142200_at,group2,A_07.cel,13.5875597031915,7,A
142661_at,group3,A_07.cel,10.6470216247222,7,A
142342_at,group3,A_07.cel,8.50077822654798,7,A
141251_at,group3,A_07.cel,10.0931033105501,7,A
