"Date","Day","GuinSus","GuinDeath","GuinLab","LibSus","LibDeath","LibLab","NigSus","NigDeath","NigLab","SLSus","SLDeath","SLLab","SenSus","SenDeath","SenLab","totalSus","totalDeath","totalLab"
2014-03-25,0,86,59,0,0,0,0,0,0,0,0,0,0,0,0,0,86,59,0
2014-03-26,1,86,60,1,0,0,0,0,0,0,0,0,0,0,0,0,86,60,1
2014-03-27,2,103,66,4,0,0,0,0,0,0,0,0,0,0,0,0,103,66,4
2014-03-31,6,112,70,24,0,0,0,0,0,0,0,0,0,0,0,0,112,70,24
2014-04-01,7,122,80,24,0,0,0,0,0,0,0,0,0,0,0,0,122,80,24
2014-04-02,8,127,83,35,0,0,0,0,0,0,0,0,0,0,0,0,127,83,35
2014-04-07,13,151,95,52,0,0,0,0,0,0,0,0,0,0,0,0,151,95,52
2014-04-10,16,157,101,66,0,0,0,0,0,0,0,0,0,0,0,0,157,101,66
2014-04-17,23,197,122,101,0,0,0,0,0,0,0,0,0,0,0,0,197,122,101
2014-04-21,27,203,129,109,0,0,0,0,0,0,0,0,0,0,0,0,203,129,109
2014-04-23,29,208,136,112,0,0,0,0,0,0,0,0,0,0,0,0,208,136,112
2014-04-30,36,221,146,126,0,0,0,0,0,0,0,0,0,0,0,0,221,146,126
2014-05-05,41,231,155,127,0,0,0,0,0,0,0,0,0,0,0,0,231,155,127
2014-05-14,50,233,157,129,0,0,0,0,0,0,0,0,0,0,0,0,233,157,129
2014-05-23,59,258,174,146,0,0,0,0,0,0,0,0,0,0,0,0,258,174,146
2014-05-28,64,281,186,163,0,0,0,0,0,0,9,5,7,0,0,0,290,191,170
2014-06-02,69,291,193,172,0,0,0,0,0,0,50,6,14,0,0,0,341,199,186
2014-06-05,72,344,215,207,0,0,0,0,0,0,81,7,31,0,0,0,425,222,238
2014-06-10,77,372,236,219,1,1,1,0,0,0,89,7,33,0,0,0,462,244,253
2014-06-11,78,376,241,233,1,1,1,0,0,0,117,19,43,0,0,0,494,261,277
2014-06-18,85,398,264,254,33,24,18,0,0,0,97,49,92,0,0,0,528,337,364
2014-06-24,91,390,270,260,51,34,34,0,0,0,158,34,147,0,0,0,599,338,441
2014-07-02,99,413,303,293,107,65,52,0,0,0,239,99,199,0,0,0,759,467,544
2014-07-07,104,412,305,292,115,75,54,0,0,0,252,101,211,0,0,0,779,481,557
2014-07-08,105,408,307,294,131,84,63,0,0,0,305,127,269,0,0,0,844,518,626
2014-07-14,111,409,309,296,142,88,70,0,0,0,337,142,298,0,0,0,888,539,664
2014-07-16,113,406,304,297,172,105,70,0,0,0,386,192,339,0,0,0,964,601,706
2014-07-24,121,415,314,304,224,127,77,0,0,0,454,219,405,0,0,0,1093,660,786
2014-07-24,121,410,310,301,196,116,76,0,0,0,442,206,368,0,0,0,1048,632,745
2014-07-28,125,427,319,311,249,129,84,0,0,0,525,224,419,0,0,0,1201,672,814
2014-07-31,128,460,339,336,329,156,100,1,0,0,533,233,473,0,0,0,1323,728,909
2014-08-03,131,472,346,337,391,227,109,2,1,0,574,252,507,0,0,0,1439,826,953
2014-08-04,132,485,358,340,468,255,129,4,1,0,646,273,540,0,0,0,1603,887,1009
2014-08-08,136,495,367,355,554,294,148,13,2,0,717,298,631,0,0,0,1779,961,1134
2014-08-12,140,506,373,362,599,323,158,13,2,0,730,315,656,0,0,0,1848,1013,1176
2014-08-13,141,510,377,369,670,355,166,12,3,10,783,334,706,0,0,0,1975,1069,1251
2014-08-15,143,519,380,376,786,413,190,12,4,11,810,348,733,0,0,0,2127,1145,1310
2014-08-19,147,543,394,396,834,466,200,15,4,12,848,365,775,0,0,0,2240,1229,1383
2014-08-21,149,579,396,423,972,576,242,15,4,12,907,374,783,0,0,0,2473,1350,1460
2014-08-22,150,607,406,443,1028,624,269,16,5,12,910,392,804,0,0,0,2561,1427,1528
2014-08-28,156,648,430,482,1378,694,322,17,6,13,1026,422,935,0,0,0,3069,1552,1752
2014-08-31,159,771,494,579,1698,871,403,21,7,16,1216,476,1107,1,0,1,3706,1848,2105
2014-09-14,173,942,601,750,2710,1459,812,21,8,19,1673,562,1513,1,0,1,5346,2630,3094
2014-09-30,189,1199,739,977,3834,2069,931,20,8,19,2437,623,2179,1,0,1,7490,3439,4106
