CS_PropertyID,rev_psf,Rent,leasing_rate,size,City_Market_Rent,stories,age,renovated,class,green_rating,LEED,amenities,Utility_Costs,class_a,class_b
379105,35.239984,38.56,91.39,260300,37.09,14,16,0,A,1,0,1,-0.196562,1,0
122151,24.895898,28.57,87.14,67861,36.88,5,27,0,B,0,0,1,-0.191080175,0,1
379839,29.625914,33.31,88.94,164848,36.95,13,36,1,B,0,0,1,-0.191080175,0,1
94614,33.964,35,97.04,93372,36.9,13,46,1,B,0,0,0,-0.191080175,0,1
379285,39.298402,40.69,96.58,174307,36.72,16,5,0,A,0,0,1,-0.191080175,1,0
94765,40.026584,43.16,92.74,231633,36.95,14,20,0,A,0,0,1,-0.191080175,1,0
236739,11.79125,12.5,94.33,210038,17.34,11,38,0,B,1,0,1,-0.237235312,0,1
234578,13.443654,14.77,91.02,225895,17.4,15,24,0,A,0,0,1,-0.240760722,1,0
42087,16.8844,17,99.32,912011,16.93,31,34,0,A,0,0,1,-0.240760722,1,0
233989,15.9018,17,93.54,518578,17.43,21,36,1,A,0,0,1,-0.240760722,1,0
236704,14.2137,17,83.61,241294,17.66,11,32,0,A,0,0,1,-0.240760722,1,0
234263,17.2242,18,95.69,255305,17.45,15,25,0,A,0,0,1,-0.240760722,1,0
234298,18,18,100,254920,17.64,15,26,0,A,0,0,1,-0.240760722,1,0
233940,18.1678,19,95.62,745956,17.52,31,28,0,A,0,0,1,-0.240760722,1,0
233941,12.8212,19,67.48,746824,17.41,31,29,0,A,0,0,1,-0.240760722,1,0
239670,16.65495,19.5,85.41,85000,17.59,7,40,1,B,0,0,0,-0.240760722,0,1
431225,29.6033,30.5,97.06,409889,25.87,20,6,0,A,1,0,0,-0.855759833,1,0
104642,7.990137,12.51,63.87,28000,25.38,3,56,0,C,0,0,0,-0.855505707,0,0
224619,12.1068,15.2,79.65,69142,25.72,8,56,0,C,0,0,0,-0.855505707,0,0
625220,0,18.58,0,72500,25.37,10,57,0,B,0,0,0,-0.855505707,0,1
224594,19.118,20,95.59,204278,25.73,12,46,1,B,0,0,0,-0.855505707,0,1
51815,19.91155,22.9,86.95,127313,25.37,8,77,1,B,0,0,1,-0.855505707,0,1
224553,25.5,25.5,100,723922,25.33,40,34,0,A,0,0,0,-0.855505707,1,0
224579,10.6233,25.5,41.66,244651,25.46,18,43,1,B,0,0,1,-0.855505707,0,1
224554,22.148384,25.73,86.08,371727,25.48,31,31,0,B,0,0,1,-0.855505707,0,1
224558,27.262248,29.62,92.04,491623,25.51,26,20,0,A,0,0,1,-0.855505707,1,0
224556,30.721875,31.25,98.31,470464,25.37,28,19,0,A,0,0,1,-0.855505707,1,0
224565,32.1288,33,97.36,567163,25.37,24,7,0,A,0,0,1,-0.855505707,1,0
656670,31.9275,33,96.75,137000,25.35,11,76,0,C,0,0,0,-0.855505707,0,0
204299,17.775,25,71.1,525422,22,16,23,0,A,1,0,1,-0.888879223,1,0
520856,17.5,17.5,100,184549,21.93,6,5,0,A,0,0,0,-0.889106707,1,0
204385,18.7446,21,89.26,76087,22.05,3,21,0,A,0,0,0,-0.889106707,1,0
204378,18.7418,22,85.19,101711,21.7,4,17,0,A,0,0,0,-0.889106707,1,0
204295,19.8828,27,73.64,487027,22.04,27,16,0,A,0,0,1,-0.889106707,1,0
437486,25.423194,26.61,95.54,378538,25.01,17,22,0,A,1,0,1,-0.911713493,1,0
437487,18.75065,23.5,79.79,386596,25.02,17,20,0,A,0,0,1,-0.912826439,1,0
755727,24.3677,24.5,99.46,841498,22.92,40,2,0,A,1,1,1,-0.888879223,1,0
144515,12.291175,14.75,83.33,136800,23.29,13,84,0,C,0,0,1,-0.889106707,0,0
1588,13.962,15,93.08,39761,23.28,13,83,1,C,0,0,0,-0.889106707,0,0
144402,15.314628,16.23,94.36,625696,23.15,23,97,1,B,0,0,1,-0.889106707,0,1
144297,15.275133,16.29,93.77,1601744,22.97,48,34,1,A,0,0,1,-0.889106707,1,0
144337,13.308218,16.78,79.31,733633,23.63,37,21,0,A,0,0,1,-0.889106707,1,0
144318,12.582828,17.37,72.44,803046,23.22,40,26,1,A,0,0,1,-0.889106707,1,0
1586,15.582168,18.06,86.28,401000,23.24,19,93,1,C,0,0,0,-0.889106707,0,0
144411,17.3565,19,91.35,78100,23.31,22,94,1,B,0,0,0,-0.889106707,0,1
144491,18.1374,19,95.46,173612,23.69,14,104,1,C,0,0,1,-0.889106707,0,0
144492,16.701,19,87.9,111323,23.45,14,78,1,C,0,0,1,-0.889106707,0,0
144523,18.2438,19,96.02,281325,23.41,12,119,1,A,0,0,1,-0.889106707,1,0
144410,18.024286,19.13,94.22,130976,22.94,22,80,1,C,0,0,0,-0.889106707,0,0
144403,16.9884,19.5,87.12,125729,23.16,23,79,1,B,0,0,1,-0.889106707,0,1
1597,9.428,20,47.14,66600,23.31,6,107,1,C,0,0,1,-0.889106707,0,0
144294,18.492,20,92.46,1056408,23.37,50,15,0,A,0,0,1,-0.889106707,1,0
145034,4.47,20,22.35,13909,23.43,4,77,0,C,0,0,1,-0.889106707,0,0
144466,19.69845,20.5,96.09,159000,23.44,17,46,1,C,0,0,1,-0.889106707,0,0
144306,19.370055,20.53,94.35,988171,23.44,44,33,1,B,0,0,1,-0.889106707,0,1
144342,18.147789,20.91,86.79,591430,23.43,37,32,1,A,0,0,1,-0.889106707,1,0
1587,19.7413,21.5,91.82,243040,23.03,19,103,1,B,0,0,1,-0.889106707,0,1
123313,20.131111,21.97,91.63,940639,23.16,50,17,0,A,0,0,1,-0.889106707,1,0
144474,20.774556,22.11,93.96,158100,23.35,16,114,1,C,0,0,1,-0.889106707,0,0
144473,18.6795,22.5,83.02,200187,23.42,16,95,1,C,0,0,1,-0.889106707,0,0
144494,18.8145,22.5,83.62,219273,23.14,15,114,1,C,0,0,1,-0.889106707,0,0
144499,17.58416,22.66,77.6,197621,23.66,12,107,1,C,0,0,1,-0.889106707,0,0
144388,22.75,22.75,100,157409,23.22,25,80,1,B,0,0,1,-0.889106707,0,1
144425,22.296928,23.12,96.44,178000,23.65,21,84,1,B,0,0,1,-0.889106707,0,1
144331,22.408452,23.43,95.64,174000,23,38,78,1,C,0,0,1,-0.889106707,0,0
144286,23.3637,23.5,99.42,1904229,22.95,57,40,1,A,0,0,1,-0.889106707,1,0
144329,16.10925,23.5,68.55,798782,23.08,40,21,0,A,0,0,1,-0.889106707,1,0
144434,23.1072,24,96.28,420000,23.29,21,93,1,B,0,0,1,-0.889106707,0,1
144460,17.3568,24,72.32,884004,23.28,17,102,1,B,0,0,1,-0.889106707,0,1
576483,4.921135,24.35,20.21,43049,23.36,5,107,1,C,0,0,0,-0.889106707,0,0
148528,14.816585,24.47,60.55,896769,22.84,15,87,0,B,0,0,1,-0.889106707,0,1
144319,20.727,24.5,84.6,455813,23.18,41,80,1,B,0,0,1,-0.889106707,0,1
144445,18.76945,24.5,76.61,237070,23.22,19,50,0,B,0,0,1,-0.889106707,0,1
144420,16.8904,24.55,68.8,206000,22.84,22,81,0,C,0,0,1,-0.889106707,0,0
144347,22.938454,24.62,93.17,384510,23.41,36,27,0,B,0,0,1,-0.889106707,0,1
144472,13.115,25,52.46,640554,23.2,16,95,0,B,0,0,0,-0.889106707,0,1
144433,23.2104,25.45,91.2,285000,23.27,22,97,1,C,0,0,1,-0.889106707,0,0
144298,21.627378,25.51,84.78,486602,23.54,47,78,0,B,0,0,1,-0.889106707,0,1
354086,24.669915,26.45,93.27,1504364,23.3,37,4,0,A,0,0,0,-0.889106707,1,0
144322,24.248946,26.49,91.54,402010,23.32,38,76,1,A,0,0,0,-0.889106707,1,0
144429,25.303826,26.63,95.02,294000,23.17,21,93,1,C,0,0,1,-0.889106707,0,0
403900,23.549416,26.84,87.74,53642,23.06,4,7,0,A,0,0,1,-0.889106707,1,0
144371,24.5336,28,87.62,879000,23.24,28,26,1,A,0,0,1,-0.889106707,1,0
144361,24.266862,28.26,85.87,363657,23.16,30,37,0,B,0,0,1,-0.889106707,0,1
803427,12.007947,29.73,40.39,104518,23.23,57,2,0,A,0,0,0,-0.889106707,1,0
144348,16.180512,29.76,54.37,290000,23.28,35,91,1,B,0,0,1,-0.889106707,0,1
144426,36.877342,38.47,95.86,579778,23.03,22,93,1,B,0,0,1,-0.889106707,0,1
86260,30.076,40,75.19,259000,23.32,22,93,1,C,0,0,1,-0.889106707,0,0
144381,80,80,100,691410,22.93,26,29,1,B,0,0,1,-0.889106707,0,1
320838,25.4591,29,87.79,550101,33.98,43,24,0,A,1,0,1,0.808962754,1,0
320800,18.556616,19.76,93.91,65625,34.13,9,91,0,B,0,0,1,0.809839898,0,1
320796,19.385865,22.95,84.47,23534,34.16,5,90,0,C,0,0,0,0.809839898,0,0
320726,23,23,100,216000,34.09,12,67,1,B,0,0,0,0.809839898,0,1
320642,24,24,100,53577,33.9,14,90,1,B,0,0,0,0.809839898,0,1
320922,24,24,100,13400,34.21,6,77,0,C,0,0,0,0.809839898,0,0
320943,22.9008,24,95.42,120000,34.13,13,98,1,B,0,0,0,0.809839898,0,1
321012,19.3128,24,80.47,9729,33.79,5,100,0,C,0,0,0,0.809839898,0,0
320406,20.3475,25,81.39,233654,33.76,28,77,1,B,0,0,0,0.809839898,0,1
320573,20.8,26,80,22355,34.09,5,66,1,C,0,0,0,0.809839898,0,0
320577,22.4775,27,83.25,30000,34.03,5,100,1,B,0,0,0,0.809839898,0,1
320635,19.4454,27,72.02,64955,33.86,7,83,1,C,0,0,0,0.809839898,0,0
320876,27,27,100,30000,33.74,7,80,0,C,0,0,0,0.809839898,0,0
320518,17.386362,27.09,64.18,19260,33.8,8,100,1,C,0,0,0,0.809839898,0,0
