"deny","pi_exceed","black","poor_credit","selfemp","condomin","hschool","lvrat","pirat"
0,"no","no","no","no","no","yes",0.8,0.221
0,"no","no","no","no","no","yes",0.922,0.265
0,"yes","no","no","no","no","yes",0.92,0.372
0,"no","no","no","no","no","yes",0.86,0.32
0,"yes","no","no","no","no","yes",0.6,0.36
0,"no","no","no","no","no","yes",0.511,0.24
0,"no","no","no","no","yes","yes",0.747,0.35
0,"no","no","no","no","no","yes",0.85,0.28
1,"no","no","no","no","no","yes",0.897,0.31
0,"no","no","no","no","no","yes",0.359,0.18
0,"no","no","no","no","yes","yes",0.224,0.28
0,"no","no","no","no","no","yes",0.689,0.31
1,"no","no","no","no","no","yes",0.538,0.28
0,"yes","no","no","no","no","yes",0.649,0.36
0,"no","no","no","no","no","yes",0.362,0.18
0,"yes","no","no","no","no","yes",0.833,0.36
0,"no","no","no","no","no","yes",0.643,0.23
0,"no","no","no","no","no","yes",0.438,0.32
0,"no","no","no","no","no","yes",0.794,0.31
0,"yes","no","no","no","no","yes",0.8,0.37
1,"yes","no","yes","no","no","yes",0.896,0.37
0,"yes","no","no","no","no","yes",0.879,0.39
0,"no","no","no","no","no","yes",0.772,0.32
0,"yes","no","no","no","no","yes",0.901,0.39
0,"no","no","no","no","no","yes",0.654,0.33
0,"no","no","no","no","yes","yes",0.63,0.28
0,"yes","no","no","no","yes","yes",0.895,0.37
0,"no","no","no","no","no","yes",0.485,0.3
0,"no","no","no","no","no","yes",0.949,0.31
0,"no","yes","no","no","no","yes",0.891,0.26
0,"yes","no","no","no","no","yes",0.863,0.36
0,"yes","no","no","no","no","yes",0.714,0.37
0,"no","no","no","no","no","yes",0.751,0.35
0,"yes","no","no","no","no","yes",0.902,0.37
0,"no","no","no","no","no","yes",0.847,0.34
0,"yes","no","no","no","yes","yes",0.474,0.38
0,"yes","no","no","no","no","yes",0.688,0.44
0,"no","yes","no","no","no","yes",0.898,0.35
0,"yes","no","no","no","no","yes",0.881,0.38
0,"yes","no","no","no","no","yes",0.92,0.37
0,"yes","no","no","no","no","yes",0.936,0.37
0,"yes","no","no","no","yes","yes",0.643,0.41
1,"no","no","no","no","no","yes",1.478,0.35
1,"yes","no","no","no","no","yes",0.72,0.41
0,"no","no","yes","no","no","yes",0.678,0.34
0,"no","no","no","no","no","yes",0.9,0.29
1,"no","no","yes","no","no","yes",0.8,0.27
0,"yes","yes","no","no","no","yes",0.854,0.37
1,"no","no","no","yes","no","yes",0.742,0.34
0,"yes","no","no","no","no","yes",0.676,0.36
0,"no","no","no","no","no","yes",0.644,0.34
0,"no","no","no","no","no","yes",0.941,0.27
0,"no","no","no","no","no","yes",0.732,0.16
0,"yes","no","no","no","no","yes",0.914,0.39
0,"yes","no","no","no","no","yes",0.207,0.36
0,"no","no","yes","no","no","yes",0.934,0.314
