copy,tr,animal,litter,tissue
111,1,1,1,heart
171,2,1,1,heart
230,1,1,2,heart
367,2,1,2,heart
242,1,1,3,heart
412,2,1,3,heart
165,1,1,4,heart
291,2,1,4,heart
200,1,1,1,liver
361,2,1,1,liver
122,1,1,2,liver
214,2,1,2,liver
241,1,1,3,liver
379,2,1,3,liver
112,1,1,4,liver
201,2,1,4,liver
45,1,1,1,kidney
86,2,1,1,kidney
88,1,1,2,kidney
153,2,1,2,kidney
203,1,1,3,kidney
313,2,1,3,kidney
139,1,1,4,kidney
214,2,1,4,kidney
42,1,1,1,lung
77,2,1,1,lung
74,1,1,2,lung
130,2,1,2,lung
251,1,1,3,lung
418,2,1,3,lung
115,1,1,4,lung
187,2,1,4,lung
144,1,1,1,thymus
285,2,1,1,thymus
83,1,1,2,thymus
128,2,1,2,thymus
146,1,1,3,thymus
276,2,1,3,thymus
110,1,1,4,thymus
167,2,1,4,thymus
