"minority","age","gender","credits","beauty","eval","division","native","tenure","students","allstudents","prof"
"yes",36,"female","more",0.2899157,4.3,"upper","yes","yes",24,43,"1"
"no",59,"male","more",-0.7377322,4.5,"upper","yes","yes",17,20,"2"
"no",51,"male","more",-0.5719836,3.7,"upper","yes","yes",55,55,"3"
"no",40,"female","more",-0.6779634,4.3,"upper","yes","yes",40,46,"4"
"no",31,"female","more",1.509794,4.4,"upper","yes","yes",42,48,"5"
"no",62,"male","more",0.5885687,4.2,"upper","yes","yes",182,282,"6"
"no",33,"female","more",-0.126001,4,"upper","yes","yes",33,41,"7"
"no",51,"female","more",-0.2581899,3.4,"upper","yes","yes",25,41,"8"
"no",33,"female","more",0.1496926,4.5,"upper","yes","yes",48,60,"9"
"no",47,"male","more",0.540917,3.9,"upper","yes","no",16,19,"10"
"yes",35,"male","more",0.2316134,3.1,"upper","no","yes",18,25,"11"
"no",37,"male","more",-0.0666737,4,"upper","yes","no",30,34,"12"
"no",42,"male","more",0.2168924,3.8,"upper","yes","yes",28,40,"13"
"no",49,"male","more",-0.2586962,3.4,"upper","no","yes",30,36,"14"
"no",37,"female","more",0.5502878,2.9,"upper","yes","yes",23,28,"15"
"no",45,"male","more",-0.0620358,4.5,"upper","yes","yes",23,33,"16"
"no",56,"female","more",-0.9823852,4,"upper","yes","no",27,41,"17"
"no",48,"male","more",-0.054344,3.8,"lower","yes","no",100,135,"18"
"no",46,"female","more",-0.0680143,4.3,"upper","yes","yes",25,31,"19"
"no",57,"female","more",0.0294137,3.4,"upper","yes","no",17,28,"20"
"no",52,"female","more",0.2394859,3.4,"upper","yes","no",19,22,"21"
"yes",29,"female","more",-0.8487269,3.3,"upper","no","yes",19,26,"22"
"no",62,"male","more",-0.7330914,4.3,"upper","yes","yes",30,39,"23"
"no",64,"male","more",-0.1111221,4.4,"upper","yes","yes",15,24,"24"
"no",34,"female","more",1.775517,4.6,"upper","yes","yes",20,26,"25"
"no",58,"male","more",-0.3218485,4.2,"upper","yes","yes",84,159,"26"
"yes",52,"male","more",0.2116939,4,"upper","no","yes",13,16,"27"
"no",73,"male","more",-0.717645,3.3,"upper","yes","yes",12,17,"28"
"no",70,"male","more",-0.7326927,4.4,"upper","yes","yes",47,134,"29"
"no",41,"female","more",0.4081676,2.3,"upper","yes","yes",10,12,"30"
"no",63,"male","more",-0.0102077,3.5,"upper","yes","no",28,43,"31"
"no",47,"male","more",-0.923957,4.7,"upper","yes","yes",10,15,"32"
"no",39,"male","more",0.5766805,3.9,"lower","yes","yes",86,246,"33"
"yes",47,"female","more",-0.0836015,4,"lower","yes","yes",21,21,"34"
"no",54,"male","more",-1.079558,4.3,"upper","yes","yes",15,15,"35"
"yes",44,"female","more",1.040902,3.8,"upper","yes","yes",30,55,"36"
"yes",47,"male","more",-1.052108,3.8,"upper","yes","yes",20,27,"37"
"no",62,"male","more",-0.7277681,4,"upper","yes","yes",12,13,"38"
"no",60,"male","more",-0.3953965,4.6,"upper","yes","yes",25,34,"39"
"no",37,"male","more",0.9333959,3.5,"upper","yes","yes",15,17,"40"
"no",42,"male","more",-0.2377786,4.7,"upper","yes","yes",13,14,"41"
"no",35,"male","more",0.274908,4.2,"upper","yes","yes",42,51,"42"
"no",39,"female","more",1.970023,3.4,"lower","yes","no",22,24,"43"
"no",49,"male","more",1.05095,3.9,"upper","yes","yes",28,45,"44"
"no",61,"male","more",0.2418185,4.5,"lower","yes","yes",22,27,"45"
"no",33,"male","more",1.349395,4.7,"upper","yes","yes",30,31,"46"
"no",58,"female","more",0.1115635,3.5,"upper","yes","yes",26,34,"47"
"no",56,"female","more",-0.2577254,3.7,"upper","yes","yes",12,19,"48"
"no",50,"female","more",-0.6562689,4,"lower","yes","no",22,27,"49"
"no",52,"male","more",-0.6563948,4.1,"upper","yes","yes",57,67,"50"
"no",33,"female","more",0.7244775,4.4,"upper","yes","yes",10,15,"51"
"no",57,"male","more",0.6318343,4.2,"upper","yes","yes",69,77,"52"
"no",38,"female","more",1.070944,4.5,"upper","yes","yes",46,65,"53"
"no",34,"female","more",-1.450494,3.8,"lower","yes","yes",54,91,"54"
"no",34,"male","more",1.15588,3.1,"upper","yes","yes",24,36,"55"
"no",32,"male","more",-0.3260148,3.7,"lower","yes","yes",85,248,"56"
"no",42,"female","more",0.8846435,3.9,"lower","yes","yes",44,62,"57"
"no",43,"female","more",-0.5583452,4,"lower","yes","yes",35,51,"58"
"no",35,"male","more",-0.3415543,3.3,"upper","no","yes",11,19,"59"
"no",62,"female","more",-0.5040575,3.1,"upper","yes","yes",22,27,"60"
"no",42,"male","more",-0.9005804,4,"upper","yes","yes",45,86,"61"
"no",39,"male","more",0.6430142,4.3,"upper","yes","yes",22,29,"62"
"no",52,"female","more",0.773524,3.7,"upper","yes","yes",64,88,"63"
"no",52,"female","more",1.063938,3.4,"upper","yes","yes",31,44,"64"
"no",52,"female","more",-1.090389,4.3,"upper","yes","no",59,75,"65"
"no",64,"male","more",-1.069162,3.7,"upper","yes","yes",9,11,"66"
"no",50,"male","more",1.415695,4.2,"upper","yes","yes",15,16,"67"
"no",60,"male","more",-1.422919,2.2,"upper","yes","yes",23,32,"68"
"no",51,"female","more",0.3918222,3,"upper","yes","yes",47,67,"69"
"no",43,"male","more",-0.4899626,4.3,"lower","yes","yes",19,22,"70"
"yes",50,"male","single",-0.5835869,4.6,"lower","yes","no",17,24,"71"
"no",52,"male","more",0.7566829,3.5,"upper","yes","yes",46,69,"72"
"no",51,"male","more",0.8808186,4.6,"lower","yes","yes",348,574,"73"
"no",38,"male","more",-0.5665014,3.7,"lower","yes","yes",44,87,"74"
"no",47,"female","more",0.3394037,3.8,"lower","yes","yes",19,24,"75"
"yes",43,"female","more",-0.1513687,3.6,"lower","yes","yes",47,103,"76"
"no",38,"female","more",-1.024997,4.4,"lower","yes","no",33,68,"77"
"no",43,"male","more",-0.0252444,4.1,"lower","yes","yes",10,13,"78"
"no",57,"male","more",-0.7467875,4.3,"upper","yes","yes",7,13,"79"
"no",51,"female","more",0.9889485,4,"upper","yes","yes",9,11,"80"
"no",45,"male","single",-0.5324199,4.8,"lower","yes","no",12,17,"81"
"no",57,"male","more",-0.7668921,3.5,"lower","yes","yes",13,14,"82"
"no",47,"female","more",1.154256,3.6,"lower","yes","no",16,21,"83"
"yes",54,"female","more",1.232602,3.8,"lower","yes","yes",18,18,"84"
"no",58,"male","more",1.774334,4.7,"lower","yes","no",16,17,"85"
"no",42,"male","more",1.773151,4.9,"lower","yes","yes",15,18,"86"
"no",33,"male","more",0.7245926,4.3,"lower","yes","yes",85,120,"87"
