rate,pass1,pass2,split,material,wafer
103.673,100,0,0,1,1
110.208,100,0,0,1,1
107.637,100,0,0,1,1
108.1551,100,0,0,1,1
110.607,100,0,0,1,1
114.237,100,0,0,1,1
109.837,100,0,0,1,1
110.781,100,0,0,1,1
113.027,100,0,0,1,1
112.394,100,0,0,1,1
113.09,100,0,0,1,1
113.7829,100,0,0,1,1
103.3231,100,0,0,1,1
108.214,100,0,0,1,1
109.409,100,0,0,1,1
109.963,100,0,0,1,1
109.306,100,0,0,1,1
110.933,100,0,0,1,1
113.845,0,100,0,1,2
99.325,5,95,5,1,2
106.5757,10,90,10,1,2
110.8431,15,85,15,1,2
111.474,20,80,20,1,2
109.943,25,75,25,1,2
112.411,30,70,30,1,2
107.41,40,60,40,1,2
111.57,50,50,50,1,2
108.82,100,0,0,1,2
103.044,95,5,5,1,2
110.5749,90,10,10,1,2
113.6781,85,15,15,1,2
107.607,80,20,20,1,2
113.24,75,25,25,1,2
103.408,70,30,30,1,2
110.54,60,40,40,1,2
104.279,50,50,50,1,2
106.518,0,100,0,1,3
107.691,5,95,5,1,3
107.0739,10,90,10,1,3
115.9073,15,85,15,1,3
108.152,20,80,20,1,3
103.989,25,75,25,1,3
109.2,30,70,30,1,3
109.162,40,60,40,1,3
109.313,50,50,50,1,3
104.622,100,0,0,1,3
113.28,95,5,5,1,3
117.6732,90,10,10,1,3
106.5837,85,15,15,1,3
114.518,80,20,20,1,3
101.629,75,25,25,1,3
107.695,70,30,30,1,3
112.23,60,40,40,1,3
109.634,50,50,50,1,3
123.715,100,0,0,2,1
116.625,100,0,0,2,1
124.7597,100,0,0,2,1
121.1217,100,0,0,2,1
116.301,100,0,0,2,1
120.497,100,0,0,2,1
123.412,100,0,0,2,1
128.845,100,0,0,2,1
130.375,100,0,0,2,1
117.596,100,0,0,2,1
122.148,100,0,0,2,1
118.7188,100,0,0,2,1
115.0377,100,0,0,2,1
117.632,100,0,0,2,1
112.654,100,0,0,2,1
120.471,100,0,0,2,1
118.946,100,0,0,2,1
114.756,100,0,0,2,1
122.404,0,100,0,2,2
116.87,5,95,5,2,2
119.9957,10,90,10,2,2
123.5824,15,85,15,2,2
116.137,20,80,20,2,2
124.158,25,75,25,2,2
121.174,30,70,30,2,2
123.635,40,60,40,2,2
121.822,50,50,50,2,2
116.48,100,0,0,2,2
113.163,95,5,5,2,2
119.8327,90,10,10,2,2
123.8617,85,15,15,2,2
120.118,80,20,20,2,2
125.05,75,25,25,2,2
112.316,70,30,30,2,2
119.625,60,40,40,2,2
119.749,50,50,50,2,2
125.598,0,100,0,2,3
122.065,5,95,5,2,3
118.3244,10,90,10,2,3
125.7927,15,85,15,2,3
117.811,20,80,20,2,3
114.065,25,75,25,2,3
114.954,30,70,30,2,3
121.838,40,60,40,2,3
122.857,50,50,50,2,3
123.943,100,0,0,2,3
128.089,95,5,5,2,3
115.6574,90,10,10,2,3
117.0571,85,15,15,2,3
120.229,80,20,20,2,3
115.348,75,25,25,2,3
120.327,70,30,30,2,3
121.022,60,40,40,2,3
126.589,50,50,50,2,3
123.775,100,0,0,3,1
129.774,100,0,0,3,1
129.1314,100,0,0,3,1
127.4992,100,0,0,3,1
130.09,100,0,0,3,1
132.089,100,0,0,3,1
124,100,0,0,3,1
132.221,100,0,0,3,1
127.519,100,0,0,3,1
125.429,100,0,0,3,1
124.484,100,0,0,3,1
123.3895,100,0,0,3,1
131.7167,100,0,0,3,1
128.523,100,0,0,3,1
127.401,100,0,0,3,1
127.657,100,0,0,3,1
137.72,100,0,0,3,1
127.315,100,0,0,3,1
126.791,0,100,0,3,2
128.398,5,95,5,3,2
129.9363,10,90,10,3,2
124.745,15,85,15,3,2
129.735,20,80,20,3,2
124.346,25,75,25,3,2
117.496,30,70,30,3,2
127.284,40,60,40,3,2
119.208,50,50,50,3,2
133.011,100,0,0,3,2
126.569,95,5,5,3,2
129.9869,90,10,10,3,2
135.6898,85,15,15,3,2
127.458,80,20,20,3,2
121.384,75,25,25,3,2
121.785,70,30,30,3,2
121.385,60,40,40,3,2
119.793,50,50,50,3,2
122.021,0,100,0,3,3
117.034,5,95,5,3,3
120.3211,10,90,10,3,3
128.3197,15,85,15,3,3
136.227,20,80,20,3,3
121.341,25,75,25,3,3
119.698,30,70,30,3,3
124.894,40,60,40,3,3
120.15,50,50,50,3,3
130.457,100,0,0,3,3
126.468,95,5,5,3,3
131.0344,90,10,10,3,3
125.1902,85,15,15,3,3
128.832,80,20,20,3,3
132.323,75,25,25,3,3
121.106,70,30,30,3,3
123.45,60,40,40,3,3
125.479,50,50,50,3,3
147.881,100,0,0,4,1
145.926,100,0,0,4,1
139.3958,100,0,0,4,1
150.8457,100,0,0,4,1
142.947,100,0,0,4,1
151.55,100,0,0,4,1
154.694,100,0,0,4,1
152.21,100,0,0,4,1
151.494,100,0,0,4,1
155.109,100,0,0,4,1
145.437,100,0,0,4,1
147.7031,100,0,0,4,1
140.8196,100,0,0,4,1
147.146,100,0,0,4,1
143.371,100,0,0,4,1
146.386,100,0,0,4,1
152.423,100,0,0,4,1
150.265,100,0,0,4,1
151.16,0,100,0,4,2
150.637,5,95,5,4,2
153.4931,10,90,10,4,2
147.9436,15,85,15,4,2
152.122,20,80,20,4,2
151.406,25,75,25,4,2
156.494,30,70,30,4,2
154.664,40,60,40,4,2
149.089,50,50,50,4,2
148.727,100,0,0,4,2
146.963,95,5,5,4,2
149.8472,90,10,10,4,2
152.3626,85,15,15,4,2
153.122,80,20,20,4,2
158.07,75,25,25,4,2
157.831,70,30,30,4,2
153.492,60,40,40,4,2
154.884,50,50,50,4,2
157.209,0,100,0,4,3
155.276,5,95,5,4,3
154.5562,10,90,10,4,3
152.3727,15,85,15,4,3
144.215,20,80,20,4,3
149.742,25,75,25,4,3
150.818,30,70,30,4,3
153.715,40,60,40,4,3
150.514,50,50,50,4,3
150.094,100,0,0,4,3
152.377,95,5,5,4,3
148.8433,90,10,10,4,3
157.2487,85,15,15,4,3
157.136,80,20,20,4,3
158.287,75,25,25,4,3
153.344,70,30,30,4,3
153.598,60,40,40,4,3
156.693,50,50,50,4,3
107.798,100,0,0,5,1
106.028,100,0,0,5,1
100.7822,100,0,0,5,1
103.3559,100,0,0,5,1
107.565,100,0,0,5,1
104.898,100,0,0,5,1
108.892,100,0,0,5,1
105.488,100,0,0,5,1
101.707,100,0,0,5,1
109.413,100,0,0,5,1
98.793,100,0,0,5,1
111.1438,100,0,0,5,1
105.1167,100,0,0,5,1
101.331,100,0,0,5,1
105.258,100,0,0,5,1
106.423,100,0,0,5,1
108.09,100,0,0,5,1
106.286,100,0,0,5,1
100.126,0,100,0,5,2
103.493,5,95,5,5,2
106.5987,10,90,10,5,2
97.9072,15,85,15,5,2
104.423,20,80,20,5,2
109.916,25,75,25,5,2
104.638,30,70,30,5,2
103.54,40,60,40,5,2
102.324,50,50,50,5,2
100.836,100,0,0,5,2
104.523,95,5,5,5,2
108.3472,90,10,10,5,2
106.0746,85,15,15,5,2
107.576,80,20,20,5,2
102.672,75,25,25,5,2
104.783,70,30,30,5,2
102.556,60,40,40,5,2
99.595,50,50,50,5,2
105.946,0,100,0,5,3
105.424,5,95,5,5,3
95.9665,10,90,10,5,3
111.245,15,85,15,5,3
102.98,20,80,20,5,3
114.452,25,75,25,5,3
108.765,30,70,30,5,3
105.997,40,60,40,5,3
109.9,50,50,50,5,3
96.431,100,0,0,5,3
98.703,95,5,5,5,3
95.4615,90,10,10,5,3
105.2961,85,15,15,5,3
101.724,80,20,20,5,3
98.794,75,25,25,5,3
103.791,70,30,30,5,3
103.519,60,40,40,5,3
105.36,50,50,50,5,3
98.633,100,0,0,6,1
97.171,100,0,0,6,1
106.0141,100,0,0,6,1
98.7665,100,0,0,6,1
99.301,100,0,0,6,1
97.023,100,0,0,6,1
109.384,100,0,0,6,1
102.339,100,0,0,6,1
96.666,100,0,0,6,1
105.183,100,0,0,6,1
94.76,100,0,0,6,1
101.5125,100,0,0,6,1
106.3219,100,0,0,6,1
99.809,100,0,0,6,1
107.945,100,0,0,6,1
103.543,100,0,0,6,1
100.762,100,0,0,6,1
101.363,100,0,0,6,1
95.228,0,100,0,6,2
108.709,5,95,5,6,2
106.2426,10,90,10,6,2
104.2102,15,85,15,6,2
102.883,20,80,20,6,2
102.549,25,75,25,6,2
103.838,30,70,30,6,2
104.368,40,60,40,6,2
100.983,50,50,50,6,2
98.386,100,0,0,6,2
92.936,95,5,5,6,2
107.9464,90,10,10,6,2
96.179,85,15,15,6,2
